text,polarity,subjectivity,Date,retweet count
"RT @pandeyunlimited: Please retweet, if you think Masood Azhar is actually dead (about to die) in #Surgicalstrike2  and Pakistan is trying...",-0.2,0.4,2019-03-02 16:42:08,15
RT @pandeyunlimited: @communalsandeep @ThinkersPad @RatanSharda55 @squintneon @saket71 @mamtan14 Let #Pakistan produce him alive to counter...,0.1,0.4,2019-03-02 16:42:04,1
"RT @pandeyunlimited: Please retweet, if you think Masood Azhar is actually dead (about to die) in #Surgicalstrike2  and Pakistan is trying...",-0.2,0.4,2019-03-02 16:41:49,15
Seems like #MasoodAzharDEAD in the balakot attack. Could not be saved in the hospital.,0.0,0.0,2019-03-02 16:39:48,2
RT @guest31012198: #MasoodAzharDEAD can GOI @narendramodi @Swamy39 please confirm?. Our media houses doesn't do any investigation anymore @...,0.0,0.0,2019-03-02 16:39:16,2
#MasoodAzharDEAD cried like a bitch when slapped by an Indian army officer. https://t.co/8QEUy7n5Nc,0.0,0.0,2019-03-02 16:38:46,6
#MasoodAzharDEAD was a coward. One slap from an Indian army officer and he started crying like a little girl ,-0.19375,0.55,2019-03-02 16:37:47,2
"RT @babajibaala: @RavinarIN 

Maulana Masood Azhar, was an ""easy man"" to handle in custody and he got shaken up on the first ""slap"" .........",0.3416666666666667,0.5833333333333334,2019-03-02 16:35:55,3
RT @guest31012198: Can crow eater @HamidMirPAK or isis poop swimmer @BDUTT @MoeedNj confirm or take interview of #MasoodAzharDEAD ? @Klasra...,0.0,0.0,2019-03-02 16:34:50,14
"RT @ramgopaldass_77: @RavinarIN Haha...Hope the ""mooh-bola"" son of #MasoodAzharDEAD&gt; @ArvindKejriwal resigns his Delhi CM post &amp; accepts po...",0.0,0.0,2019-03-02 16:34:49,4
"RT @babajibaala: @RavinarIN 

Indian Muslims thinking #MuslimPress

(1) there is one Muslim nation, one Muslim language, and one Muslim cul...",0.0,0.0,2019-03-02 16:34:44,2
RT @shanaishara: @ragarwal @nailainayat Sir it is not tongue slip. #MasoodAzharDEAD he is trying to hide that.,0.0,0.0,2019-03-02 16:34:38,2
RT @shanaishara: @fatherofyousaf @murtazasolangi Sir #MasoodAzharDEAD . This one is a camouflage. How could a foreign minister's tongue sli...,-0.125,0.125,2019-03-02 16:34:33,2
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 16:34:28,30
RT @guest31012198: Can crow eater @HamidMirPAK or isis poop swimmer @BDUTT @MoeedNj confirm or take interview of #MasoodAzharDEAD ? @Klasra...,0.0,0.0,2019-03-02 16:34:16,14
"RT @RavinarIN: #JaishEKejriwal is right.... Hes very much like a ""mooh-bola"" son of #MasoodAzharDEAD considering he provides so much propag...",0.24857142857142858,0.3319047619047619,2019-03-02 16:34:09,91
"RT @abmishra1985: #WelcomeBackAbhinandan  God bless!! 
[?]
But I doubt abt ""Peace"" untill we avenge for Ur Martyrs.. we need #Masoodazhard...",0.0,0.0,2019-03-02 16:33:05,1
RT @adarsh100194: Pakistan is making plot to declare #MasoodAzharDead. They also make a fake YT Channel 1 hour ago and started posting old...,-0.2,0.6,2019-03-02 16:33:02,12
"RT @PerennialCold: 26th Feb IAF bombs JeM training camp. 
27th Feb Ambulances at JeM camp, personally supervided by Masood Azar 
02nd March...",0.0,0.3,2019-03-02 16:32:52,4
RT @TheAmitNijhawan: @adarsh100194 @oumbharti @squintneon @TajinderBagga @KapilMishra_IND It appears Masood Azhar is killed in Indian Strik...,-0.2,0.0,2019-03-02 16:32:37,5
RT @Egodoc2: @squintneon Mr.squinty I think there is a need to trend this!!! #MasoodAzharDEAD,0.0,0.0,2019-03-02 16:32:26,5
"RT @league_of_india: Did Masood Azhar die in the #IAF strike on #Balakot?

Is the #Pakistan establishment working towards the 'Soft Landing...",0.1,0.35,2019-03-02 16:32:22,19
RT @Amit_IND_85: Is #MasoodAzharDead maybe Chor Kejri can takeover and name it #JaishEKejriwal,0.0,0.0,2019-03-02 16:32:14,2
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 16:32:11,30
"RT @cgmagia: source chor ,haha it was @RavinarIN  who said this #MasoodAzharDEAD https://t.co/HhmTton2xn",0.2,0.3,2019-03-02 16:32:07,5
RT @burkhabutt: @amtgpt2008 @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic @ippatel My sources with @MamataOfficial @Arvin...,0.0,0.0,2019-03-02 16:32:04,12
RT @desibeats39: @DrGPradhan Sir looks like Masood Azhar jannat pahoch gaya. Hence Pakis are giving sudden excuse of renal failure blah bla...,-0.12222222222222223,0.2833333333333334,2019-03-02 16:32:00,7
"RT @pandeyunlimited: Please retweet, if you think Masood Azhar is actually dead (about to die) in #Surgicalstrike2  and Pakistan is trying...",-0.2,0.4,2019-03-02 16:31:56,15
RT @pandeyunlimited: Plz ask #Pakistan if #MasoodAzharDead ? #Surgicalstrike2 @GitaSKapoor @AmiSri @AMIT_GUJJU @mvmeet @kanimozhi @muglikar...,0.0,0.0,2019-03-02 16:31:45,1
RT @Egodoc2: Masood Azhar reportedly dead in #Surgicalstrike2 #MasoodAzharDEAD,-0.2,0.4,2019-03-02 16:31:36,6
RT @IvoryMystic: The only one who praised Barkha for her journalism is dead now. Ab kaun compliments dega? #MasoodAzharDEAD,-0.1,0.7,2019-03-02 16:31:34,44
RT @sreenathcd: @RavinarIN #JaishEKejriwal son of #MasoodAzharDEAD . This is too good.,0.7,0.6000000000000001,2019-03-02 16:31:32,9
RT @india131979: Is it True Masood Azhar Died in Indian Air strike in Balakot? And Pakistan is using illness to hide its face In Pakistan a...,0.35,0.65,2019-03-02 16:31:27,3
RT @TheAmitNijhawan: It appears Masood Azhar is killed in Indian Strike (probably a covert operation or he was at Balakot during Air Strike...,-0.2,0.0,2019-03-02 16:31:17,51
"RT @GreatHeretic: Press release from #Jannat #MasoodAzhar enjoying with hoors.

#MasoodAzharDEAD https://t.co/ONtP08nTrj",0.5,0.6,2019-03-02 16:31:11,97
RT @IvoryMystic: The only one who praised Barkha for her journalism is dead now. Ab kaun compliments dega? #MasoodAzharDEAD,-0.1,0.7,2019-03-02 16:31:07,44
